"id","name","description","price","sourceURL"
"35","Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6\"FHD/RTX3050 6GB/Win11","Lenovo Gaming LOQ 15IAX9 tập hợp sức mạnh của bộ vi xử lý Intel dòng HX và RTX 3000 series trong một thiết kế mỏng nhẹ. Hệ thống tản nhiệt mới đem lại trải nghiệm gaming mạnh mẽ mà không cần phải hy sinh sự di động và tính tiện lợi của chiếc một laptop nhỏ gọn.","21190000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050"
"36","Laptop MSI Gaming Katana 15 B13UDXK-2213VN i5 13500H/16GB/1TB/15.6\"FHD/RTX3050 6GB/Win11_Balo","Sở hữu thiết kế lấy cảm hứng từ thanh kiếm Samurai sắc sảo, MSI Katana 15 B13UDXK-2213VN sẽ cùng bạn chiến đấu để đương đầu với mọi thách thức trong game. Cấu hình ấn tượng với chip Intel Core i5 13500H kết hợp cùng card đồ họa RTX 3050 sẽ đáp ứng mượt mà mọi nhu cầu giải trí và công việc của bạn.","20990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13udxk-2213vn-i5-13500h"
"37","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6\"FHD/RTX4050_6GB/Win11","Bên trong diện mạo chuẩn khí chất gaming của Lenovo LOQ 15IAX9 là một sức mạnh ấn tượng đến từ vi xử lý Intel Core i5 12450HX. Việc ứng dụng hệ thống AI Engine+ và chip AI LA1 đảm bảo hiệu suất CPU và GPU luôn tối ưu và ổn định khi thực hiện các tác vụ công việc cũng như giải trí.","26490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-24gb-512gb"
"38","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","Dù đến từ thương hiệu danh tiếng và có mức giá lên kệ hợp lý, Dell Inspiron 15 3530 vẫn được trang bị nhiều công nghệ hiện đại nổi bật. Sản phẩm sở hữu màn hình 15.6 inch với tần số quét 120Hz siêu mượt, chạy chip Intel Core i5 thế hệ 13 mạnh mẽ và khoác lên mình thiết kế thanh lịch, bền bỉ. Đây là trợ thủ ưu việt cho mọi nhu cầu từ học tập, làm việc đến giải trí của bạn.","16490000","/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-u165w11slu"
"39","Laptop Acer Swift X SFX16-51G-516Q i5 11320H/16GB/512GB/16.1'FHD/Nvidia RTX3050 4GB/Win11","Acer Swift X SFX16 là một sự lựa chọn đáng cân nhắc đối với người dùng sáng tạo, đồ họa, kỹ thuật nhờ hiệu năng mạnh mẽ, thiết kế mỏng nhẹ, màn hình lớn, dung lượng RAM cao cùng các tính năng phục vụ tốt cho công việc.","17990000","/may-tinh-xach-tay/acer-swift-x-sfx16-51g-516q-i5-11320h"
"40","Laptop Acer Aspire 7 Gaming A715-76G-73FM i7 12650H/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","Acer Aspire 7 A715-76G-73FM là một lựa chọn đáng giá trong phân khúc laptop đa năng khi có thể vừa để làm việc, vừa để chơi game nhưng vẫn giữ được tính linh động. Bộ vi xử lý Intel Core i7 12650H kết hợp với card đồ họa RTX 2050 đủ sức mạnh để đáp ứng hoàn hảo nhu cầu thường ngày và cả nâng cao.","17490000","/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-73fm-i7-12650h"
"41","Laptop Lenovo IdeaPad Slim 3 14IRH10 i5-13420H/24GB/512GB/14\" WUXGA/Win 11","Sở hữu chip Intel Core i5-13420H mạnh mẽ, màn hình WUXGA sắc nét, RAM 24GB DDR5 và ổ cứng 512GB SSD, chiếc laptop Lenovo IdeaPad Slim 3 14IRH10 sẽ cung cấp hiệu suất vượt trội, đồng hành cùng bạn trong công việc, học tập và giải trí.","16490000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-14irh10-83k0000avn"
"42","Laptop Lenovo V15 G4 IRU i5 13420H/16GB/512GB/15.6\"FHD/Win 11","Lenovo V15 G4 IRU là mẫu laptop doanh nhân có cấu hình cực mạnh với bộ vi xử lý Intel Core i5 13420H, giúp chạy tốt cả những tác vụ nặng. Bạn còn được thưởng thức màn hình lớn Full HD rõ nét, âm thanh Dolby Audio sống động và những tính năng bảo mật đáng tin cậy từ Lenovo.","14990000","/may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h-16gb"
"43","Laptop Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U/16GB/512GB/16\"FHD/Win11","Acer Aspire Lite 16 AL16-51P-72S2 là sản phẩm mới của Acer trong phân khúc laptop văn phòng mỏng nhẹ. Màn hình 16 inch viền mỏng đem đến khung hình hiển thị rộng lớn, cùng với cấu hình phần cứng ổn định với sự góp mặt của chip Intel Core i7 1255U, RAM 16GB và ổ SSD 512GB, đáp ứng nhu cầu làm việc cũng như giải trí nhanh và mượt.","15990000","/may-tinh-xach-tay/acer-aspire-lite-16-al16-51p-72s2-i7-1255u"
"44","Laptop Asus TUF Gaming FA507NUR-LP101W R7-7435HS/16GB/512GB/15.6\"/GeForce RTX4050 6GB/Win11","Không chỉ gây ấn tượng bởi thiết kế cá tính độc đáo, Asus TUF Gaming FA507NUR-LP101W còn mang trong mình cấu hình nổi bật với CPU Ryzen 7 kết hợp cùng card đồ họa RTX 4050, cung cấp sức mạnh tuyệt vời để bạn thoải mái chơi game hoặc thực hiện các tác vụ liên quan đến đồ họa.","23990000","/may-tinh-xach-tay/asus-tuf-gaming-fa507nur-lp101w-r7-7435hs"
"45","Laptop Lenovo Ideapad Slim 3 - 15ABR8 R5 5625U/16GB/512GB/15.6\"FHD/Win 11","Lenovo Ideapad Slim 3 15ABR8 82XM00MDVN là mẫu laptop mỏng nhẹ, mạnh mẽ và đáp ứng tốt mọi nhu cầu làm việc, học tập và giải trí. Với chip AMD Ryzen 5 5625U, RAM 16GB DDR4, ổ cứng SSD 512GB cùng thiết kế bền bỉ, mẫu laptop này cung cấp hiệu suất ổn định, khả năng đa nhiệm ấn tượng và trải nghiệm sử dụng mượt mà.","12190000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-82xm00mdvn"
