'product_id','score','name','displayName','typePim','type','slug','price','industry','brand','productType','group','keySellingPoints','units','image','originalPrice','currentPrice','discountPercentage','endTimeDiscount','promotions','totalInventory','skus'
'"158367921039"','10.339136','HP 15-fd1060TU U7-155H (9Z2X8PA)','HP 15-fd1060TU U7-155H (9Z2X8PA)','Normal','Normal','may-tinh-xach-tay/hp-15-fd1060tu-core-ultra-7-155h','24490000','','','','','','','','24490000','24490000','0','2025-03-23T23:59:00.000+07:00','','0',''
'"81998579139"','10.3313675','Lenovo ThinkBook 14 G6 IRL I5 13420H (21KG00RDVN)','Lenovo ThinkBook 14 G6 IRL I5 13420H (21KG00RDVN)','Normal','Normal','may-tinh-xach-tay/lenovo-thinkbook-14-g6-irl-i5-13420h','20290000','','','','','','','','20290000','18290000','10','2025-03-25T23:59:00.000+07:00','','0',''
'"754757715051"','10.30758','MSI Gaming Katana A15 AI B8VE-402VN R7 8845HS','MSI Gaming Katana A15 AI B8VE-402VN R7 8845HS','Normal','Normal','may-tinh-xach-tay/msi-gaming-katana-a15-ai-b8ve-402vn-r7-8845hs','28990000','','','','','','','','28990000','24990000','14','2025-03-25T23:59:00.000+07:00','','0',''
'"480811538353"','10.300186','Macbook Air M2 13 2022 8CPU 10GPU/16GB/256GB','Macbook Air M2 13 2022 8CPU 10GPU/16GB/256GB','Normal','Normal','may-tinh-xach-tay/macbook-air-m2-13-inch-2022-8cpu-10gpu-16gb-256gb','29990000','','','','','','','','29990000','25990000','13','2025-03-27T23:59:00.000+07:00','','0',''
'"642002438095"','10.297942','Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS (83DH003AVN)','Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS (83DH003AVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-legion-slim-5-16ahp9-r7-8845hs-83dh003avn','41990000','','','','','','','','41990000','38990000','7','2025-03-25T23:59:00.000+07:00','','0',''
'"173896110981"','10.289586','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS001QVN)','Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS001QVN)','Normal','Normal','may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-83gs001qvn','26990000','','','','','','','','26990000','24990000','7','2025-03-25T23:59:00.000+07:00','','0',''
'"974941224415"','10.278077','Asus Vivobook S 14 OLED M5406WA-PP071WS Ryzen AI 9 HX 370','Asus Vivobook S 14 OLED M5406WA-PP071WS Ryzen AI 9 HX 370','Normal','Normal','may-tinh-xach-tay/asus-vivobook-s-14-oled-m5406wa-pp071ws','33990000','','','','','','','','33990000','30990000','9','2025-03-31T23:59:00.000+07:00','','0',''
'"859111305979"','10.278077','MacBook Air 13" 2020 M1 16GB/256GB','MacBook Air 13" 2020 M1 16GB/256GB','Normal','Normal','may-tinh-xach-tay/macbook-air-13-2020-m1-16gb-256gb','29990000','','','','','','','','29990000','21990000','27','2025-03-27T23:59:00.000+07:00','','0',''
'"543667461065"','10.257991','Máy tính xách tay MacBook Air 15 M2 2023 8CPU 10GPU/8GB/256GB','Máy tính xách tay MacBook Air 15 M2 2023 8CPU 10GPU/8GB/256GB','Normal','Normal','may-tinh-xach-tay/macbook-air-m2-2023-15-inch','32890000','','','','','','','','32890000','27490000','16','2025-03-27T23:59:00.000+07:00','','0',''
'"468320631663"','10.246904','MSI Gaming Gaming Cyborg 15 A12UC-621VN i5 12450H','MSI Gaming Gaming Cyborg 15 A12UC-621VN i5 12450H','Normal','Normal','may-tinh-xach-tay/msi-gaming-cyborg-15-a12uc-621vn-i5-12450h','17990000','','','','','','','','17990000','16990000','6','2025-03-25T23:59:00.000+07:00','','0',''
'"311606430737"','10.235883','Asus Vivobook S5406MA-PP124W Ultra 5-125H','Asus Vivobook S5406MA-PP124W Ultra 5-125H','Normal','Normal','may-tinh-xach-tay/asus-vivobook-s5406ma-pp124w-ultra-5-125h','25990000','','','','','','','','25990000','22990000','12','2025-03-31T23:59:00.000+07:00','','0',''
'"861557159770"','10.235883','Gigabyte Gaming G5 KF-E3VN313SH i5 12500H','Gigabyte Gaming G5 KF-E3VN313SH i5 12500H','Normal','Normal','may-tinh-xach-tay/gigabyte-gaming-g5-kf-e3vn313sh-i5-12500h','24990000','','','','','','','','24990000','21490000','14','2025-03-25T23:59:00.000+07:00','','0',''
