'data-id','data-issetup','data-maingroup','data-subgroup','data-type','data-vehicle','data-productcode','data-price-root','data-ordertypeid','data-pos','sourceURL','data-s','data-site','data-pro','data-cache','data-sv','data-name','data-id','data-price','data-brand','data-cate','data-box','data-pos','data-color','data-productstatus','data-premium','data-promotiontype','imageURL','percent','gift','rating','unit-sold'
'334450','0','22','42','1','1','0220042003008','17490000.0','2','1','/laptop/lenovo-ideapad-slim-3-16irh10-i5-83k20003vn','Nomal','1','3','True','webtgdd-26-83','Laptop Lenovo Ideapad Slim 3 16IRH10 i5 13420H/24GB/512GB/Win11 (83K20003VN)','334450','17490000.0','Lenovo','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/334450.jpg','0%','Quà 2.490.000₫','5','• Đã bán 129'
'325953','0','22','42','1','1','0220042002697','26990000.0','2','4','/laptop/dell-inspiron-14-5440-core-7-7fn5j','Nomal','1','3','True','webtgdd-26-83','Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/1TB/OfficeHS/Win11 (7FN5J)','325953','24990000.0','Dell','Laptop','BoxCate','0','Xanh Dương','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/325953.jpg','-7%','Quà 400.000₫','5','• Đã bán 875'
'325480','0','22','42','1','1','0220042002673','26990000.0','2','6','/laptop/asus-zenbook-14-oled-i5-km657w?utm_flashsale=1','TwoPriceDetailCMS','1','3','True','webtgdd-26-83','Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W)','325480','23190000.0','Asus','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/325480.jpg','-14%','Quà 2.490.000₫','4.9','• Đã bán 980'
'328949','0','22','42','1','1','0220042002814','20990000.0','154','5','/laptop/asus-vivobook-15-oled-a1505va-i5-ma467w','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/120Hz/Win11 (MA467W)','328949','18190000.0','Asus','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/328949.jpg','-13%','Quà 2.490.000₫','4.9','• Đã bán 739'
'336967','0','22','42','1','1','0220042003164','14490000.0','2','7','/laptop/acer-aspire-lite-15-al15-71p-517d-i5-nxj7ksv001','Nomal','1','3','True','webtgdd-26-83','Laptop Acer Aspire Lite 15 AL15 71P 517D i5 12450H/16GB/512GB/Win11 (NX.J7KSV.001)','336967','14490000.0','Acer','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/336967.jpg','0%','Quà 2.390.000₫','5','• Đã bán 9'
'335554','0','22','42','1','1','0220042003141','24990000.0','2','8','/laptop/lenovo-loq-15irx9-i5-83dv003cvn','Nomal','1','3','True','webtgdd-26-83','Laptop Lenovo LOQ 15IRX9 i5 13450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83DV003CVN)','335554','22690000.0','Lenovo','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/335554.jpg','-9%','Quà 2.490.000₫','5','• Đã bán 29'
'309565','0','22','42','1','1','0220042002317','20990000.0','2','10','/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa','Nomal','1','3','True','webtgdd-26-83','Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA)','309565','18190000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/309565.jpg','-13%','Quà 2.490.000₫','4.9','• Đã bán 4,6k'
'308697','0','22','42','1','1','0220042002287','22490000.0','2','11','/laptop/msi-gaming-gf63-thin-12ve-i5-460vn','Nomal','1','3','True','webtgdd-26-83','Laptop MSI Gaming GF63 Thin 12VE i5 12450H/8GB/512GB/6GB RTX4050/144Hz/Win11 (460VN)','308697','18690000.0','MSI','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/308697.jpg','-16%','Quà 2.490.000₫','4.9','• Đã bán 986'
'328950','0','22','42','1','1','0220042002815','25990000.0','154','17','/laptop/asus-vivobook-15-oled-a1505va-i9-ma586ws','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/120Hz/OfficeHS/Win11 (MA586WS)','328950','23190000.0','Asus','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/328950.jpg','-10%','Quà 400.000₫','5','• Đã bán 332'
'331518','0','22','42','1','1','0220042002856','28390000.0','154','18','/laptop/hp-elitebook-630-g11-ultra-7-a7lc5pt','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop HP Elitebook 630 G11 Ultra 7 155U/16GB/512GB/Win11 (A7LC5PT)','331518','26190000.0','HP','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/331518.jpg','-7%','Quà 2.490.000₫','5','• Đã bán 53'
'325588','0','22','42','1','1','0220042002669','51990000.0','2','20','/laptop/msi-stealth-14-ai-studio-a1vfg-ultra-7-085vn','Nomal','1','3','True','webtgdd-26-83','Laptop MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H/32GB/1TB/8GB RTX4060/120Hz/Balo/Tai nghe/Móc chìa khóa/Chuột/Lót chuột/Win11 (085VN)','325588','50690000.0','MSI','Laptop','BoxCate','0','Xanh','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/325588.jpg','0%','Quà 2.490.000₫','5','• Đã bán 19'
'302533','0','22','42','1','1','0220042002182','19790000.0','2','19','/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa','Nomal','1','3','True','webtgdd-26-83','Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA)','302533','16990000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/302533.jpg','-14%','Quà 2.490.000₫','4.9','• Đã bán 3,4k'
